nuclides,reactions,groups,xs
At226,"(n,t)",1,0.0
At226,fission,1,0.0
At227,"(n,2n)",1,0.0
At227,"(n,d)",1,0.0
At227,"(n,a)",1,0.0
At227,"(n,p)",1,0.0
At227,"(n,3n)",1,0.0
At227,"(n,gamma)",1,1.183
At227,"(n,4n)",1,0.0
At227,"(n,t)",1,0.0
At227,fission,1,0.0
At228,"(n,2n)",1,0.0
At228,"(n,d)",1,0.0
At228,"(n,a)",1,0.0
At228,"(n,p)",1,0.0
At228,"(n,3n)",1,0.0
At228,"(n,gamma)",1,162.3
At228,"(n,4n)",1,0.0
At228,"(n,t)",1,0.0
At228,fission,1,0.0
At229,"(n,2n)",1,0.0
At229,"(n,d)",1,0.0
At229,"(n,a)",1,0.0
At229,"(n,p)",1,0.0
At229,"(n,3n)",1,0.0
At229,"(n,gamma)",1,0.7139
At229,"(n,4n)",1,0.0
At229,"(n,t)",1,0.0
At229,fission,1,0.0
Au176,"(n,2n)",1,0.0
Au176,"(n,d)",1,0.0
Au176,"(n,a)",1,9.695
Au176,"(n,p)",1,993.3
Au176,"(n,3n)",1,0.0
Au176,"(n,gamma)",1,272.0
Au176,"(n,4n)",1,0.0
Au176,"(n,t)",1,0.0
Au176,fission,1,0.0
Au177,"(n,2n)",1,0.0
Au177,"(n,d)",1,0.0
Au177,"(n,a)",1,2.679
Au177,"(n,p)",1,256.4
Au177,"(n,3n)",1,0.0
Au177,"(n,gamma)",1,241.7
Au177,"(n,4n)",1,0.0
Au177,"(n,t)",1,0.0
Au177,fission,1,0.0
Au178,"(n,2n)",1,0.0
Au178,"(n,d)",1,0.0
Au178,"(n,a)",1,7.51
Au178,"(n,p)",1,485.3
Au178,"(n,3n)",1,0.0
Au178,"(n,gamma)",1,459.9
Au178,"(n,4n)",1,0.0
Au178,"(n,t)",1,0.0
Au178,fission,1,0.0
