V,Cr,Ti,W,Zr,x_V,x_Cr,x_Ti,x_W,x_Zr,phase_count,dominant_phase,single_phase,phases,iter
0.956,0.008,0.021,0.004,0.011,0.956,0.008,0.021,0.004,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9919729065982043, ""C15_LAVES#1"": 0.001965507051118377, ""FCC_L12#1"": 0.0006449454806783349, ""HCP_A3#1"": 0.0031292206752155925, ""HCP_A3#2"": 0.0022874201947834876}",14
0.973,0.004,0.008,0.008,0.007,0.973,0.004,0.008,0.008,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9946800216321033, ""FCC_L12#1"": 0.0006395797079490206, ""HCP_A3#1"": 0.001964119400545285, ""HCP_A3#2"": 0.0027162792594023727}",14
0.953,0.006,0.019,0.006,0.016,0.953,0.006,0.019,0.006,0.016,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9780250926277655, ""C15_LAVES#1"": 0.015695077945703274, ""FCC_L12#1"": 0.0006521223781167332, ""HCP_A3#1"": 0.0023816237057949752, ""HCP_A3#2"": 0.003246083342619744}",14
0.969,0.009000000000000001,0.006,0.009000000000000001,0.007,0.969,0.009000000000000001,0.006,0.009000000000000001,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9946666274887003, ""FCC_L12#1"": 0.0006413082849647347, ""HCP_A3#1"": 0.001970430978138743, ""HCP_A3#2"": 0.0027216332481965386}",14
0.8299999999999998,0.04999999999999999,0.04899999999999999,0.052999999999999985,0.018,0.8299999999999998,0.04999999999999999,0.04899999999999999,0.052999999999999985,0.018,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9573540653231096, ""C15_LAVES#1"": 0.0371565686372376, ""FCC_L12#1"": 0.0007048806341684275, ""HCP_A3#1"": 0.0020052323103072656, ""HCP_A3#2"": 0.0027792530951773887}",14
0.974,0.004,0.009000000000000001,0.004,0.009000000000000001,0.974,0.004,0.009000000000000001,0.004,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9942358392165398, ""FCC_L12#1"": 0.0006415008842204843, ""HCP_A3#1"": 0.0029630909827514404, ""HCP_A3#2"": 0.002159568916488123}",14
0.958,0.006,0.027,0.005,0.004,0.958,0.006,0.027,0.005,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958766691316474, ""FCC_L12#1"": 0.0006151382529753855, ""HCP_A3#1"": 0.0009769785462777406, ""HCP_A3#2"": 0.0023111081920962626, ""ZRO2_MONO#1"": 0.00022010587700334067}",14
0.97,0.004,0.012,0.01,0.004,0.97,0.004,0.012,0.01,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9957835054806128, ""FCC_L12#1"": 0.0006235788506013267, ""HCP_A3#1"": 0.0010160348962759635, ""HCP_A3#2"": 0.002336232789004528, ""ZRO2_MONO#1"": 0.00024064798350535623}",14
0.951,0.007,0.015,0.016,0.011,0.951,0.007,0.015,0.016,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.990913734790278, ""C15_LAVES#1"": 0.0028496712039339693, ""FCC_L12#1"": 0.0006649196252370964, ""HCP_A3#1"": 0.0023551739118195998, ""HCP_A3#2"": 0.0032165004687315763}",14
0.962,0.014,0.006,0.008,0.01,0.962,0.014,0.006,0.008,0.01,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.990671146116878, ""C15_LAVES#1"": 0.003546143779470844, ""FCC_L12#1"": 0.0006482563004499635, ""HCP_A3#1"": 0.0021651953410500454, ""HCP_A3#2"": 0.002969258462151053}",14
